ID,area,pop,dens_pop,lon,lat,r_cbd,d_av,Oi,Dj,dens_Oi,dens_Dj
240,0.434366016,944,2173.282359,-43.218119,-22.893018,7716.115162,8.041345211,502,1406,1155.707356,3236.90148
241,0.492644543,792,1607.650001,-43.214246,-22.899589,7716.575968,19.06856609,35,9,71.04513895,18.26875002
242,0.286921633,441,1537.005053,-43.213155,-22.904614,7717.017873,3.690134328,26,2,90.61707795,6.970544458
243,1.034608685,2542,2456.967582,-43.224916,-22.905772,7717.694332,6.937503544,152,263,146.9154494,254.2023895
244,0.598150418,11146,18634.10886,-43.231087,-22.895927,7717.021675,7.375748773,478,69,799.1300948,115.3555995
245,1.470074017,26323,17905.90112,-43.309977,-22.843369,7715.636022,6.372035232,1463,1748,995.1879855,1189.055775
246,1.861712209,24959,13406.47597,-43.31582,-22.857116,7717.267052,7.455592441,1258,937,675.7220551,503.3001317
247,1.459829178,18265,12511.73786,-43.303629,-22.854,7716.376112,7.157501502,772,380,528.828997,260.3044286
248,0.166886607,3279,19648.07159,-43.320513,-22.830778,7714.904501,9.104967227,126,61,755.003666,365.5176478
249,0.517083977,8022,15513.92107,-43.315145,-22.830115,7714.581741,5.954836027,551,739,1065.590939,1429.168246
25,4.51164976,34387,7621.823906,-43.66547,-22.924548,7740.718629,11.69549324,2116,2649,469.0080375,587.1466405
250,0.697583504,11494,16476.88044,-43.320175,-22.824456,7714.267159,8.023430566,527,396,755.4651116,567.6739738
251,0.518603357,5345,10306.52796,-43.324176,-22.83273,7715.272087,4.406376794,200,40,385.6511866,77.13023733
252,1.561458621,16651,10663.7472,-43.332802,-22.828896,7715.309501,7.894211688,1054,1245,675.0098821,797.3314072
253,1.302583301,5186,3981.319273,-43.327663,-22.819237,7714.113877,9.598267633,1,4,0.76770522,3.070820882
255,0.676600531,10682,15787.74994,-43.327045,-22.842181,7716.338304,6.442239452,707,874,1044.929714,1291.751868
256,0.589920619,11510,19511.09968,-43.319844,-22.838846,7715.665062,5.73317675,766,998,1298.479788,1691.753039
257,0.184103287,2512,13644.51465,-43.321687,-22.847767,7716.629985,3.215034259,93,11,505.151219,59.74906892
258,1.421624048,20453,14387.0667,-43.329044,-22.850526,7717.254099,6.599725704,1036,844,728.7440032,593.6871995
259,1.096627001,19137,17450.78315,-43.333665,-22.837343,7716.180764,7.481423786,1231,1363,1122.533002,1242.902097
26,0.530246326,2404,4533.741928,-43.679185,-22.916509,7740.593232,2.330470323,83,3,156.5310233,5.657747831
260,0.940857463,12750,13551.46822,-43.339236,-22.842766,7716.980956,7.005201621,658,477,699.362046,506.9843403
261,0.976490359,15789,16169.13045,-43.316371,-22.884778,7720.011458,6.011102886,759,586,777.2734188,600.1083312
262,3.351258275,15305,4566.941353,-43.326846,-22.89791,7721.804118,6.541081436,712,471,212.4575134,140.5442259
263,0.634893463,9788,15416.75978,-43.324784,-22.881646,7720.107221,7.015986231,904,1571,1423.860936,2474.430897
264,1.872651337,19323,10318.52519,-43.333399,-22.887617,7721.107137,6.84013939,1149,1330,613.5685684,710.222973
265,1.84174023,16138,8762.364927,-43.316786,-22.870507,7718.629129,9.29953048,2,3,1.085929474,1.628894211
266,0.760424358,7603,9998.364625,-43.325553,-22.874654,7719.457131,5.228866036,286,26,376.1057849,34.19143499
267,0.312696193,4242,13565.88312,-43.319411,-22.878619,7719.552088,5.5743849,329,689,1052.13945,2203.41666
268,1.598395337,19206,12015.80082,-43.34093,-22.877935,7720.517263,7.56863039,874,1111,546.798392,695.0720979
269,0.199836494,1495,7481.116025,-43.339705,-22.870592,7719.737086,8.657112856,71,134,355.29046,670.5481922
27,10.27157191,31505,3067.203372,-43.641376,-22.941072,7741.175267,13.84930174,1417,769,137.9535686,74.86682728
270,1.98684294,28029,14107.30533,-43.332413,-22.86788,7719.120725,7.386700155,1367,1723,688.026201,867.2049337
271,1.312987216,17245,13134.17205,-43.342376,-22.861697,7718.991433,6.655290002,1081,1425,823.3134237,1085.311405
272,1.079092118,15736,14582.62899,-43.328463,-22.858406,7718.000397,6.284061209,797,632,738.5838399,585.6775242
273,1.404254029,21484,15299.22618,-43.348783,-22.846257,7717.782261,7.709195605,926,193,659.4248483,137.4395202
274,1.494686775,21678,14503.37313,-43.34444,-22.853501,7718.285357,6.595773546,1268,1476,848.338275,987.4978658
275,1.418024315,2057,1450.609822,-43.316018,-23.002748,7731.587254,7.805574819,287,1317,202.3942727,928.7569936
276,0.806374703,868,1076.422656,-43.336322,-22.998255,7732.118155,3.547443084,32,4,39.68378456,4.96047307
277,0.522429124,6853,13117.56884,-43.358141,-22.853079,7718.901744,3.66103795,245,51,468.9631354,97.62089757
278,0.801483037,16131,20126.43969,-43.356003,-22.843858,7717.893316,6.79414978,975,1163,1216.494867,1451.060031
279,0.975087728,17751,18204.51586,-43.235192,-22.905034,7718.113462,6.7775094,723,126,741.4717462,129.2191425
28,7.634431045,13248,1735.296307,-43.668972,-22.95427,7743.801912,13.90910475,598,253,78.3293472,33.1393392
280,0.614395565,6159,10024.48642,-43.236672,-22.895771,7717.273628,6.707884817,538,909,875.6573624,1479.502867
281,1.056704164,14631,13845.8809,-43.240742,-22.891445,7717.043153,7.24557548,868,1240,821.4219548,1173.459935
283,0.746955911,12222,16362.41152,-43.348878,-22.866401,7719.765643,6.338647084,840,1065,1124.564365,1425.786963
284,1.295091704,20706,15988.05701,-43.351743,-22.874665,7720.714984,8.3637339,892,323,688.7543154,249.4031882
285,1.007538181,13657,13554.8213,-43.347314,-22.885106,7721.528106,6.541694354,951,831,943.8848254,824.7826392
286,1.945146999,26587,13668.37572,-43.362198,-22.871075,7720.864257,7.124115908,1656,2252,851.3495387,1157.753117
287,1.173910551,17241,14686.80896,-43.358624,-22.860655,7719.669111,7.590502048,725,157,617.5939038,133.7410247
288,2.233367779,29704,13300.09338,-43.369464,-22.854058,7719.541722,7.929853777,1624,1856,727.1529639,831.0319588
29,2.290212399,15198,6636.065723,-43.677862,-22.937328,7742.570323,11.03152525,575,79,251.0684163,34.4946172
290,3.796956174,27623,7275.037882,-43.179518,-22.821598,7707.245708,8.669779955,1162,575,306.0346095,151.4370916
291,0.936574646,11424,12197.6396,-43.180239,-22.80661,7705.806385,7.152774267,584,601,623.5488033,641.7000527
292,5.129706933,31928,6224.137249,-43.171065,-22.786144,7703.354853,9.893563696,1379,739,268.8262737,144.0628109
293,3.207591054,32158,10025.59225,-43.202072,-22.812977,7707.477475,9.114900246,1515,2147,472.3170674,669.3496658
294,1.569958817,24825,15812.5167,-43.193136,-22.805574,7706.321806,7.066173633,985,501,627.4049928,319.1166511
295,1.617763761,29501,18235.66624,-43.186888,-22.79759,7705.237689,7.515941733,1294,799,799.8695678,493.8916419
296,6.44233279,691,107.2592836,-43.247408,-22.818704,7710.212008,12.59917178,377,1201,58.51917501,186.4231543
297,12.54995556,21736,1731.958324,-43.230725,-22.802277,7707.797892,9.574260355,934,386,74.42257429,30.75708102
298,0.252660025,3756,14865.82614,-43.21082,-22.801234,7706.741844,8.797555656,110,23,435.3676453,91.03141674
299,1.488650344,26546,17832.26001,-43.203254,-22.798488,7706.109542,8.029172013,1230,1195,826.2517824,802.7405528
3,1.185898225,1962,1654.442143,-43.20355,-22.898765,7715.983369,9.444688233,178,453,150.0971975,381.9889351
301,1.38941316,18096,13024.20368,-43.370109,-22.845079,7718.690793,7.414948689,961,806,691.6589158,580.1010262
302,2.414055279,28990,12008.83851,-43.378333,-22.835572,7718.152204,7.716453926,1358,861,562.5388994,356.661261
303,0.390402928,4360,11167.94903,-43.39967,-22.826254,7718.262796,5.451748256,189,31,484.1152216,79.40514217
304,1.526974225,20583,13479.59885,-43.410267,-22.826539,7718.80039,7.525991898,1076,1025,704.6615342,671.2621492
305,2.413393701,30691,12716.94709,-43.392726,-22.821717,7717.483388,7.680151803,1235,393,511.7275311,162.8412306
306,4.013106024,26826,6684.597875,-43.415088,-22.836276,7719.988327,9.206574709,1217,695,303.2563786,173.1825663
307,1.204265544,16733,13894.77601,-43.391065,-22.833778,7718.58795,8.468019439,820,507,680.9129463,421.0034924
308,1.01742862,11956,11751.19292,-43.403469,-22.841555,7719.947967,8.027017035,630,522,619.2080579,513.0581051
309,1.603669529,20398,12719.57821,-43.349085,-22.834525,7716.644315,8.828154126,1533,2122,955.9326109,1323.215264
31,1.895172993,9110,4806.949041,-43.696726,-22.902176,7740.036246,20.53038646,314,25,165.6840833,13.19140791
310,0.898465728,11992,13347.19804,-43.353403,-22.828684,7716.277948,8.759023383,499,134,555.3912461,149.1431402
311,1.585077288,26967,17013.05053,-43.341143,-22.822207,7715.052899,7.949578316,1260,655,794.9139197,413.2290614
316,1.761486019,14046,7973.949184,-43.363928,-22.834736,7717.377974,7.673753844,739,608,419.5321406,345.1631143
317,1.386125573,5010,3614.391147,-43.335724,-22.807567,7713.354515,7.530579028,457,986,329.6959589,711.3352637
318,1.153566399,2673,2317.161806,-43.348966,-22.80911,7714.142132,8.03061154,344,685,298.2056346,593.8106387
319,0.618322769,10459,16915.11381,-43.354534,-22.816003,7715.086685,7.517351575,658,785,1064.169126,1269.56347
32,17.020336,20405,1198.859999,-43.714513,-22.941424,7744.743426,16.01792245,459,56,26.96774024,3.290181815
320,1.113194856,12016,10794.15695,-43.358266,-22.807827,7714.46293,8.568556791,1002,1595,900.1119564,1432.812945
322,1.347358426,25253,18742.59997,-43.360983,-22.819546,7715.744518,9.771231886,1074,165,797.115288,122.4618459
323,0.794607018,8218,10342.21925,-43.371831,-22.809928,7715.321178,2.400047342,2,1,2.516967449,1.258483725
324,1.633467012,28176,17249.2005,-43.379216,-22.817264,7716.396612,8.054665526,1574,1640,963.5946048,1003.999461
327,0.294747371,28356,96204.42042,-43.332829,-22.973593,7729.527426,6.007769659,1068,158,3623.441988,536.0522791
328,10.75190166,2238,208.1492253,-43.306195,-22.930009,7723.968312,7.401517335,168,369,15.62514292,34.31951033
329,12.13730234,10608,873.9998153,-43.313648,-22.956031,7726.882639,7.895203423,508,390,41.85444063,32.13234615
33,1.059055104,9315,8795.576328,-43.684704,-22.929872,7742.17,10.20853042,679,1005,641.1375552,948.9591208
330,3.06643814,10334,3370.033742,-43.349908,-22.972265,7730.215498,10.55795692,477,140,155.5550701,45.65557614
331,5.989881511,9946,1660.466903,-43.368761,-22.963186,7730.227547,8.39459881,562,809,93.82489436,135.0611024
332,1.680733634,11416,6792.272,-43.383194,-22.961717,7730.775625,11.03148229,490,4,291.5393553,2.379913104
333,2.624814451,19688,7500.720669,-43.401186,-22.968163,7732.272183,9.305959862,1197,1517,456.0322349,577.9456143
334,27.94030633,11163,399.5303368,-43.439292,-22.924713,7729.835522,10.37387488,507,341,18.14582825,12.2045906
335,14.94310908,27612,1847.808234,-43.409258,-22.948081,7730.687354,9.35139887,1201,736,80.3714939,49.2534717
336,1.215265392,19186,15787.49805,-43.3499,-22.95858,7728.870557,6.981223844,1125,1075,925.7237205,884.5804441
337,2.175666049,9084,4175.273133,-43.341129,-22.960883,7728.676345,7.304252268,385,214,176.9573047,98.36068366
338,1.337385338,13797,10316.39843,-43.333297,-22.951159,7727.345476,6.342457133,628,635,469.5729661,474.8070597
339,2.945844568,7588,2575.83176,-43.207923,-22.941639,7720.40843,20.42901036,317,185,107.6092077,62.80032626
34,2.587620528,16535,6390.04051,-43.691337,-22.928724,7742.37806,14.8591188,1470,2382,568.0894799,920.5368307
340,1.508804173,21865,14491.60891,-43.191029,-22.921914,7717.661177,6.849772739,782,272,518.2912495,180.2752172
341,0.671269968,14869,22150.55151,-43.182609,-22.91797,7716.870896,6.806135345,484,110,721.0213821,163.8684959
342,1.30904909,34800,26584.18258,-43.363233,-22.947889,7728.459634,6.613030509,1666,1373,1272.679545,1048.852951
343,3.355530589,31837,9487.918276,-43.387212,-22.952275,7730.040974,7.256282898,1439,1077,428.8442504,320.962653
344,1.968954114,28230,14337.56115,-43.334373,-22.938683,7726.171198,8.415499498,1312,1156,666.343614,587.1137331
345,5.665945651,18787,3315.774834,-43.335102,-22.923372,7724.701775,8.28568666,767,482,135.3701654,85.06964763
346,2.637952267,27304,10350.45264,-43.349839,-22.945366,7727.569378,7.217473441,1398,1606,529.9565188,608.8055574
